Datetime,Ticker,Open,High,Low,Close,Volume
2025-04-16,AC.PA,38.75,38.9900016784668,38.2599983215332,38.9900016784668,644025
2025-04-17,AC.PA,38.709999084472656,39.06999969482422,38.380001068115234,38.95000076293945,501596
2025-04-22,AC.PA,38.79999923706055,39.310001373291016,38.16999816894531,39.150001525878906,638452
2025-04-23,AC.PA,39.91999816894531,40.869998931884766,39.65999984741211,40.599998474121094,941991
2025-04-24,AC.PA,40.310001373291016,40.79999923706055,40.18000030517578,40.65999984741211,894755
2025-04-25,AC.PA,42.0,43.290000915527344,41.95000076293945,43.220001220703125,1329941
2025-04-16,ACA.PA,16.065000534057617,16.299999237060547,16.024999618530273,16.274999618530273,3791348
2025-04-17,ACA.PA,16.239999771118164,16.350000381469727,16.15999984741211,16.28499984741211,4042644
2025-04-22,ACA.PA,16.260000228881836,16.450000762939453,16.2450008392334,16.420000076293945,5270602
2025-04-23,ACA.PA,16.565000534057617,16.7450008392334,16.5,16.690000534057617,7151421
2025-04-24,ACA.PA,16.65999984741211,16.774999618530273,16.610000610351562,16.690000534057617,3242657
2025-04-25,ACA.PA,16.780000686645508,16.889999389648438,16.700000762939453,16.8799991607666,4079423
2025-04-16,AI.PA,174.25999450683594,175.0,173.3800048828125,174.67999267578125,702346
2025-04-17,AI.PA,174.8800048828125,175.25999450683594,172.77999877929688,173.17999267578125,701724
2025-04-22,AI.PA,174.0,175.36000061035156,173.0800018310547,174.8800048828125,714581
2025-04-23,AI.PA,176.6199951171875,176.63999938964844,173.17999267578125,174.6999969482422,880212
2025-04-24,AI.PA,174.75999450683594,179.47999572753906,174.1999969482422,178.5800018310547,674312
2025-04-25,AI.PA,178.8000030517578,179.74000549316406,178.02000427246094,178.44000244140625,687114
2025-04-16,AIR.PA,140.17999267578125,140.52000427246094,138.55999755859375,140.5,1490715
2025-04-17,AIR.PA,140.63999938964844,140.86000061035156,135.3800048828125,136.4600067138672,1563744
2025-04-22,AIR.PA,133.82000732421875,133.82000732421875,131.89999389648438,133.05999755859375,1951154
2025-04-23,AIR.PA,135.5,141.5,135.1999969482422,138.83999633789062,1840997
2025-04-24,AIR.PA,138.83999633789062,139.3000030517578,136.82000732421875,137.25999450683594,1392522
2025-04-25,AIR.PA,139.5,141.5800018310547,138.89999389648438,140.60000610351562,1438906
2025-04-16,BN.PA,73.45999908447266,73.80000305175781,73.08000183105469,73.68000030517578,1663798
2025-04-17,BN.PA,72.94000244140625,74.0999984741211,72.94000244140625,73.73999786376953,1274302
2025-04-22,BN.PA,74.30000305175781,74.5199966430664,73.31999969482422,73.73999786376953,1655010
2025-04-23,BN.PA,73.94000244140625,74.41999816894531,73.04000091552734,74.31999969482422,2441552
2025-04-24,BN.PA,74.41999816894531,75.72000122070312,74.31999969482422,75.18000030517578,1951020
2025-04-25,BN.PA,74.87999725341797,75.5999984741211,74.4000015258789,74.77999877929688,1777433
2025-04-16,BNP.PA,69.93000030517578,71.66000366210938,69.80000305175781,71.58000183105469,3171170
2025-04-17,BNP.PA,71.69000244140625,71.91999816894531,70.12999725341797,70.73999786376953,2922984
2025-04-22,BNP.PA,70.94999694824219,71.91000366210938,70.5999984741211,71.62000274658203,2644851
2025-04-23,BNP.PA,73.0999984741211,74.80999755859375,72.8499984741211,73.81999969482422,4756299
2025-04-24,BNP.PA,71.91999816894531,72.80999755859375,70.61000061035156,72.2300033569336,3705193
2025-04-25,BNP.PA,72.9000015258789,73.19999694824219,72.19999694824219,72.80999755859375,2764070
2025-04-16,CA.PA,13.319999694824219,13.449999809265137,13.1899995803833,13.25,4015504
2025-04-17,CA.PA,13.15999984741211,13.265000343322754,13.050000190734863,13.204999923706055,4067581
2025-04-22,CA.PA,13.380000114440918,13.65999984741211,13.359999656677246,13.65999984741211,4244034
2025-04-23,CA.PA,13.574999809265137,13.854999542236328,13.569999694824219,13.725000381469727,3576959
2025-04-24,CA.PA,13.699999809265137,13.864999771118164,13.65999984741211,13.770000457763672,3048670
2025-04-25,CA.PA,13.649999618530273,13.895000457763672,13.649999618530273,13.75,2366046
2025-04-16,CAP.PA,128.6999969482422,129.35000610351562,127.3499984741211,128.64999389648438,411594
2025-04-17,CAP.PA,128.25,129.39999389648438,126.75,126.9000015258789,463529
2025-04-22,CAP.PA,126.55000305175781,127.94999694824219,124.0,127.8499984741211,395567
2025-04-23,CAP.PA,131.60000610351562,134.85000610351562,131.0,132.1999969482422,561712
2025-04-24,CAP.PA,132.14999389648438,133.35000610351562,130.39999389648438,132.0,444706
2025-04-25,CAP.PA,132.14999389648438,132.5,127.8499984741211,130.0500030517578,961598
2025-04-16,CS.PA,38.81999969482422,39.209999084472656,38.529998779296875,39.15999984741211,3372340
2025-04-17,CS.PA,39.06999969482422,39.709999084472656,39.040000915527344,39.5099983215332,4451871
2025-04-22,CS.PA,39.54999923706055,40.15999984741211,39.5099983215332,40.040000915527344,4270855
2025-04-23,CS.PA,40.5,40.5,39.9900016784668,40.33000183105469,4566456
2025-04-24,CS.PA,40.369998931884766,40.58000183105469,40.130001068115234,40.22999954223633,2882578
2025-04-25,CS.PA,40.540000915527344,40.84000015258789,40.279998779296875,40.56999969482422,3620980
2025-04-16,DG.PA,118.0,120.0999984741211,117.5999984741211,120.0,1368609
2025-04-17,DG.PA,118.6500015258789,119.9000015258789,118.1500015258789,119.69999694824219,997032
2025-04-22,DG.PA,117.0999984741211,118.3499984741211,116.4000015258789,117.9000015258789,1245093
2025-04-23,DG.PA,119.3499984741211,119.8499984741211,117.5,119.5,1634038
2025-04-24,DG.PA,119.19999694824219,120.4000015258789,119.19999694824219,120.4000015258789,909085
2025-04-25,DG.PA,120.0,121.30000305175781,118.80000305175781,120.8499984741211,1293196
2025-04-16,DSY.PA,33.20000076293945,33.540000915527344,32.689998626708984,33.470001220703125,1092543
2025-04-17,DSY.PA,33.400001525878906,33.599998474121094,32.68000030517578,32.84000015258789,1336446
2025-04-22,DSY.PA,32.790000915527344,33.11000061035156,32.290000915527344,33.11000061035156,1320271
2025-04-23,DSY.PA,33.900001525878906,34.47999954223633,33.72999954223633,33.86000061035156,2327845
2025-04-24,DSY.PA,31.299999237060547,32.5,30.56999969482422,32.130001068115234,3872592
2025-04-25,DSY.PA,32.119998931884766,32.779998779296875,31.84000015258789,32.54999923706055,2035872
2025-04-16,EDEN.PA,31.1299991607666,31.15999984741211,29.969999313354492,31.1299991607666,540667
2025-04-17,EDEN.PA,31.079999923706055,31.600000381469727,30.950000762939453,31.299999237060547,403443
2025-04-22,EDEN.PA,31.420000076293945,32.22999954223633,31.219999313354492,31.6200008392334,558819
2025-04-23,EDEN.PA,32.25,32.400001525878906,31.81999969482422,32.150001525878906,691981
2025-04-24,EDEN.PA,32.16999816894531,32.209999084472656,31.719999313354492,31.8799991607666,504454
2025-04-25,EDEN.PA,32.0,32.20000076293945,26.219999313354492,26.530000686645508,2858868
2025-04-16,EL.PA,249.3000030517578,250.3000030517578,246.8000030517578,249.8000030517578,649432
2025-04-17,EL.PA,248.39999389648438,249.3000030517578,246.60000610351562,247.3000030517578,556740
2025-04-22,EL.PA,248.10000610351562,253.6999969482422,245.8000030517578,253.1999969482422,505607
2025-04-23,EL.PA,255.0,259.1000061035156,254.8000030517578,257.29998779296875,838272
2025-04-24,EL.PA,255.60000610351562,255.8000030517578,247.89999389648438,252.0,639097
2025-04-25,EL.PA,253.10000610351562,255.3000030517578,250.89999389648438,253.3000030517578,534593
2025-04-16,EN.PA,36.86000061035156,37.47999954223633,36.790000915527344,37.45000076293945,968014
2025-04-17,EN.PA,37.31999969482422,37.540000915527344,37.060001373291016,37.34000015258789,641187
2025-04-22,EN.PA,37.34000015258789,37.869998931884766,37.310001373291016,37.540000915527344,686578
2025-04-23,EN.PA,37.810001373291016,37.849998474121094,37.41999816894531,37.619998931884766,964762
2025-04-24,EN.PA,37.61000061035156,37.810001373291016,37.470001220703125,37.7599983215332,662440
2025-04-25,EN.PA,37.880001068115234,37.9900016784668,37.5,37.77000045776367,786599
2025-04-16,ENGI.PA,18.59000015258789,18.729999542236328,18.364999771118164,18.704999923706055,8212977
2025-04-17,ENGI.PA,18.649999618530273,18.764999389648438,18.579999923706055,18.670000076293945,4725656
2025-04-22,ENGI.PA,18.75,18.920000076293945,18.704999923706055,18.895000457763672,6880090
2025-04-23,ENGI.PA,18.96500015258789,18.96500015258789,18.575000762939453,18.770000457763672,8170335
2025-04-24,ENGI.PA,18.93000030517578,18.979999542236328,18.625,18.704999923706055,7486423
2025-04-25,ENGI.PA,17.299999237060547,17.4950008392334,17.260000228881836,17.424999237060547,8139677
2025-04-16,ERF.PA,50.560001373291016,51.060001373291016,49.939998626708984,50.540000915527344,384077
2025-04-17,ERF.PA,50.400001525878906,50.5,49.38999938964844,49.56999969482422,406502
2025-04-22,ERF.PA,49.52000045776367,49.7400016784668,48.459999084472656,49.349998474121094,510307
2025-04-23,ERF.PA,51.560001373291016,55.720001220703125,51.380001068115234,55.279998779296875,889912
2025-04-24,ERF.PA,54.619998931884766,54.939998626708984,53.439998626708984,54.220001220703125,507177
2025-04-25,ERF.PA,53.599998474121094,54.70000076293945,53.599998474121094,53.86000061035156,445963
2025-04-16,GLE.PA,39.84000015258789,40.209999084472656,39.2599983215332,40.0,2218711
2025-04-17,GLE.PA,40.040000915527344,40.130001068115234,39.2400016784668,39.5099983215332,1842589
2025-04-22,GLE.PA,39.7400016784668,40.540000915527344,39.59000015258789,40.40999984741211,1836579
2025-04-23,GLE.PA,41.54999923706055,42.380001068115234,41.040000915527344,41.88999938964844,3823503
2025-04-24,GLE.PA,41.5,41.88999938964844,40.86000061035156,41.88999938964844,1905388
2025-04-25,GLE.PA,42.15999984741211,42.81999969482422,41.849998474121094,42.810001373291016,1951753
2025-04-16,HO.PA,259.79998779296875,260.0,254.6999969482422,257.29998779296875,269089
2025-04-17,HO.PA,256.70001220703125,256.70001220703125,251.39999389648438,253.0,258883
2025-04-22,HO.PA,253.10000610351562,256.20001220703125,251.3000030517578,252.89999389648438,325074
2025-04-23,HO.PA,253.5,254.0,244.89999389648438,250.8000030517578,323481
2025-04-24,HO.PA,239.0,242.89999389648438,235.5,241.3000030517578,546493
2025-04-25,HO.PA,239.3000030517578,240.6999969482422,233.1999969482422,233.8000030517578,349794
2025-04-16,KER.PA,160.0800018310547,164.82000732421875,159.5399932861328,164.82000732421875,281182
2025-04-17,KER.PA,163.86000061035156,166.86000061035156,163.1199951171875,164.47999572753906,257072
2025-04-22,KER.PA,166.9600067138672,170.1999969482422,161.86000061035156,169.9199981689453,274861
2025-04-23,KER.PA,172.8000030517578,181.8000030517578,172.8000030517578,174.94000244140625,499428
2025-04-24,KER.PA,163.39999389648438,173.24000549316406,162.8000030517578,173.24000549316406,553990
2025-04-25,KER.PA,176.47999572753906,178.82000732421875,172.24000549316406,174.5,280094
2025-04-16,LR.PA,93.54000091552734,93.9800033569336,92.4000015258789,93.91999816894531,379142
2025-04-17,LR.PA,94.31999969482422,95.12000274658203,92.63999938964844,93.66000366210938,410568
2025-04-22,LR.PA,93.55999755859375,93.68000030517578,90.91999816894531,92.12000274658203,503373
2025-04-23,LR.PA,93.5999984741211,96.04000091552734,92.87999725341797,94.55999755859375,867479
2025-04-24,LR.PA,94.37999725341797,95.80000305175781,94.0199966430664,95.80000305175781,431043
2025-04-25,LR.PA,96.4000015258789,97.5199966430664,96.0199966430664,97.05999755859375,405431
2025-04-16,MC.PA,483.0,489.0,479.29998779296875,485.20001220703125,1094429
2025-04-17,MC.PA,482.1000061035156,493.29998779296875,480.95001220703125,485.6000061035156,902702
2025-04-22,MC.PA,489.45001220703125,489.79998779296875,471.25,487.29998779296875,809138
2025-04-23,MC.PA,492.3500061035156,515.0999755859375,491.8500061035156,500.29998779296875,844261
2025-04-24,MC.PA,490.25,501.79998779296875,486.04998779296875,499.70001220703125,605877
2025-04-25,MC.PA,504.0,506.5,497.25,498.79998779296875,561897
2025-04-16,ML.PA,30.280000686645508,30.309999465942383,29.670000076293945,30.059999465942383,1648144
2025-04-17,ML.PA,30.190000534057617,30.3700008392334,29.81999969482422,30.219999313354492,1248750
2025-04-22,ML.PA,30.469999313354492,30.5,30.1299991607666,30.350000381469727,1313579
2025-04-23,ML.PA,30.739999771118164,31.200000762939453,30.579999923706055,30.790000915527344,2107794
2025-04-24,ML.PA,30.690000534057617,30.850000381469727,30.549999237060547,30.850000381469727,1436214
2025-04-25,ML.PA,31.579999923706055,32.08000183105469,31.239999771118164,31.3799991607666,2099375
2025-04-16,MT.AS,23.540000915527344,24.040000915527344,23.280000686645508,24.020000457763672,1387759
2025-04-17,MT.AS,24.020000457763672,24.190000534057617,23.649999618530273,23.81999969482422,1175366
2025-04-22,MT.AS,23.850000381469727,24.229999542236328,23.770000457763672,24.18000030517578,1721227
