Datetime,Price,Ticker,Value
2023-04-24,Close,AC.PA,30.271163940429688
2023-04-24,Close,AI.PA,143.2488250732422
2023-04-24,Close,AIR.PA,125.66715240478516
2023-04-24,Close,BNP.PA,51.79769515991211
2023-04-24,Close,CS.PA,25.994951248168945
2023-04-24,Close,MT.AS,24.333223342895508
2023-04-24,High,AC.PA,30.41522050697753
2023-04-24,High,AI.PA,143.4593853879776
2023-04-24,High,AIR.PA,125.88273978584472
2023-04-24,High,BNP.PA,52.077966495976256
2023-04-24,High,CS.PA,26.065878742651943
2023-04-24,High,MT.AS,24.88526999375372
2023-04-24,Low,AC.PA,30.10789934320117
2023-04-24,Low,AI.PA,142.6171588545633
2023-04-24,Low,AIR.PA,124.37362811842765
2023-04-24,Low,BNP.PA,51.11453419589297
2023-04-24,Low,CS.PA,25.844230111011967
2023-04-24,Low,MT.AS,24.222814378965268
2023-04-24,Open,AC.PA,30.203937664825936
2023-04-24,Open,AI.PA,142.8277191692987
2023-04-24,Open,AIR.PA,124.4520248890543
2023-04-24,Open,BNP.PA,51.23715248778381
2023-04-24,Open,CS.PA,25.88856085196688
2023-04-24,Open,MT.AS,24.7652600114982
2023-04-24,Volume,AC.PA,498774.0
2023-04-24,Volume,AI.PA,614099.0
2023-04-24,Volume,AIR.PA,752850.0
2023-04-24,Volume,BNP.PA,2206738.0
2023-04-24,Volume,CS.PA,3202571.0
2023-04-24,Volume,MT.AS,3278186.0
2023-04-25,Close,AC.PA,30.37680435180664
2023-04-25,Close,AI.PA,143.2488250732422
2023-04-25,Close,AIR.PA,125.13043975830078
2023-04-25,Close,BNP.PA,50.562747955322266
2023-04-25,Close,CS.PA,25.96392059326172
2023-04-25,Close,MT.AS,24.025999069213867
2023-04-25,High,AC.PA,30.453634642513464
2023-04-25,High,AI.PA,143.63485477117828
2023-04-25,High,AIR.PA,125.74664516514284
2023-04-25,High,BNP.PA,51.21087750064571
2023-04-25,High,CS.PA,25.98608511823232
2023-04-25,High,MT.AS,24.30922271223076
2023-04-25,Low,AC.PA,29.90621859225502
2023-04-25,Low,AI.PA,142.8277191692987
2023-04-25,Low,AIR.PA,123.71912130569866
2023-04-25,Low,BNP.PA,50.27371960508594
2023-04-25,Low,CS.PA,25.644746022341597
2023-04-25,Low,MT.AS,23.72357338875687
2023-04-25,Open,AC.PA,30.18472954092889
2023-04-25,Open,AI.PA,143.2488250732422
2023-04-25,Open,AIR.PA,124.49435235479672
2023-04-25,Open,BNP.PA,51.14080799689276
2023-04-25,Open,CS.PA,25.888560870152723
2023-04-25,Open,MT.AS,24.290020674790643
2023-04-25,Volume,AC.PA,513480.0
2023-04-25,Volume,AI.PA,823006.0
2023-04-25,Volume,AIR.PA,983955.0
