Ticker,MAE,Total_Return,Sharpe,Max_Drawdown,Num_Trades,Win_Rate
AC.PA,0.012161069549620152,-8.418108206911612,-0.6056015080016928,-15.776020832171266,17,50.0
ACA.PA,0.0075815035961568356,22.42397362487325,0.729327483467072,-5.334060572440491,2,100.0
AI.PA,0.008571583777666092,30.658542244842124,0.9911978966325176,-9.746408992943667,3,0.0
AIR.PA,0.007934031076729298,-3.727489717023935,-0.7397351298905129,-8.125085173552193,2,0.0
BN.PA,0.027756497263908386,0.9405828555424822,-0.2868153976027718,-12.538936523882327,25,58.333333333333336
BNP.PA,0.008059656247496605,0.0,0.0,0.0,0,
CA.PA,0.008299087174236774,12.912013879622597,0.45367707702619076,-8.395695219949795,1,
CAP.PA,0.012097084894776344,-29.294163126438967,-1.1638789162719343,-41.39435508632078,6,33.33333333333333
CS.PA,0.007194104138761759,39.489318591483524,1.076141269500162,-9.197315446271148,1,
DG.PA,0.010018004104495049,21.93502936407492,0.5743453606684655,-8.714363006820347,7,66.66666666666666
DSY.PA,0.010682621970772743,5.5934242045097005,0.023709602381076247,-8.714515960646374,6,100.0
EDEN.PA,0.01289470586925745,-13.317955335210785,-0.4906673453770825,-26.01603108544619,8,50.0
EL.PA,0.01988976076245308,2.87653039282445,-0.6472220841791572,-0.5114287020219876,4,100.0
EN.PA,0.006667821202427149,1.6759317805060014,-1.2028598060331028,-0.21740849667711837,3,100.0
ENGI.PA,0.009071104228496552,3.4607235101813627,-0.07742663103526928,-8.822220879274367,12,50.0
ERF.PA,0.011961166746914387,7.179740820736713,0.20047504677720387,-4.946138470497341,5,50.0
GLE.PA,0.013031957671046257,14.358685792817516,0.34681589155478526,-7.385531444407933,7,66.66666666666666
HO.PA,0.023861419409513474,85.92961354803847,0.9594486966296716,-17.641273828937464,7,100.0
KER.PA,0.01672927848994732,-23.42574742933341,-1.082847497165467,-24.83958179091904,8,0.0
LR.PA,0.010388516820967197,13.345659199667637,0.17015144558090148,-18.930740134339185,7,66.66666666666666
MC.PA,0.0104153947904706,18.48211577563741,0.8499667154373121,-4.527807434298414,2,100.0
ML.PA,0.009799099527299404,8.55000837802189,0.12109714211037291,-11.097124674850878,11,40.0
MT.AS,0.013846581801772118,17.003265509624367,0.2085139404861351,-27.231769047755073,11,40.0
OR.PA,0.018446020781993866,-3.2192806216664205,-0.2875500030021326,-16.193232614813034,21,60.0
ORA.PA,0.006762147881090641,35.91153300650276,1.3463318868013932,-8.495782165539435,5,100.0
PUB.PA,0.008144629187881947,-20.482193831071903,-0.8192346174114016,-29.129181430816974,3,0.0
RI.PA,0.010636324994266033,17.50543151812094,0.3405808013384316,-15.126850263586022,14,71.42857142857143
RMS.PA,0.011066636070609093,28.863940354497174,0.9185743989944639,-5.187815273907437,8,75.0
RNO.PA,0.011767668649554253,0.0,0.0,0.0,0,
SAF.PA,0.010408848524093628,4.073424433176376,-0.06887917485437114,-7.356330664810562,14,57.14285714285714
SAN.PA,0.00617698160931468,-1.0876285383496165,-3.589565761286194,-1.4697203852004348,2,0.0
SGO.PA,0.01236156839877367,27.00858827877326,0.6993288607941573,-10.09636847812354,10,100.0
STLAP.PA,0.015441060066223145,57.34904242339738,0.9083044272270533,-13.419854971300182,21,70.0
STMPA.PA,0.03376445919275284,11.544650340321239,0.2417458769387631,-7.919018238716957,26,46.15384615384615
SU.PA,0.011350365355610847,-9.578882650495324,-0.5069954161064663,-17.400328979917102,5,50.0
TEP.PA,0.0146314837038517,10.25437518870531,0.1806436447917406,-12.350324792449484,3,100.0
TTE.PA,0.007676744367927313,-2.430086492126815,-1.596138816457402,-3.44644507828461,2,0.0
URW.PA,0.008420064114034176,-15.584356432810264,-0.8376702942241363,-19.63709243140136,1,
VIE.PA,0.015287761576473713,3.202277269034215,-0.1149251897694755,-10.80367581956374,17,25.0
VIV.PA,0.08435148745775223,10.288073630719285,0.11696431513339271,-16.964880867862043,35,52.94117647058824
